
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            50.500  ,   AESS Steel                     ,        160.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.42
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         32.95
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         57.67
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         12.64
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          6.47
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            24.110  ,   CMU Walls - Blockfiller        ,         82.93
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         23.69
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         41.46
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            26.110  ,   Floor Sealer                   ,           .08
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         18.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         20.33
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         17.08

NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.89
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,           .96
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         33.31
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            24.110  ,   CMU Walls - Blockfiller        ,         29.25
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          8.36
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         14.62
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            26.110  ,   Floor Sealer                   ,           .08
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         18.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,          6.39
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            21.120  ,   Walls - 2nd Coat Finish        ,          4.05
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            21.130  ,   Walls - 3rd Coat Finish        ,          7.08
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          4.01
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         15.18
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            24.110  ,   CMU Walls - Blockfiller        ,         29.25
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          8.36
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         14.62
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            26.110  ,   Floor Sealer                   ,          2.07
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         18.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         37.98
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         29.99
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         52.49
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          7.16
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         13.62
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            24.110  ,   CMU Walls - Blockfiller        ,         67.22
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         19.21
